,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
604,Maruti,Swift,VXI,2011,252000,Petrol,Manual,61459,2,Hatchback,3686,15,Budget
605,Maruti,BREZZA,ZXI SMART HYBRID ,2025,1046000,Petrol,Manual,12519,1,SUV,3686,1,Premium
606,Maruti,Baleno,ZETA CVT PETROL 1.2,2021,598000,Petrol,Automatic,43123,2,Hatchback,3686,5,Mid-Range
607,Maruti,Ertiga,ZDI + SHVS,2015,556000,Diesel,Manual,106124,3,SUV,3686,11,Mid-Range
608,Maruti,Wagon R 1.0,LXI,2012,237000,Petrol,Manual,96733,1,Hatchback,3686,14,Budget
609,Maruti,Wagon R 1.0,VXI AMT,2016,320000,Petrol,Automatic,67939,2,Hatchback,3686,10,Mid-Range
610,Maruti,Baleno,DELTA PETROL 1.2,2019,493000,Petrol,Manual,42465,2,Hatchback,3686,7,Mid-Range
611,Maruti,Ertiga,ZDI,2013,418000,Diesel,Manual,125607,3,SUV,3686,13,Mid-Range
612,Maruti,Celerio,ZXI,2023,445000,Petrol,Manual,33673,1,Hatchback,3686,3,Mid-Range
613,Maruti,S PRESSO,VXI+,2022,371000,Petrol,Manual,31415,2,Hatchback,3686,4,Mid-Range
614,Maruti,S PRESSO,VXI+,2022,381000,Petrol,Manual,60579,1,Hatchback,3686,4,Mid-Range
615,Maruti,S Cross,ZETA 1.3,2018,600000,Diesel,Manual,172004,2,SUV,3686,8,Mid-Range
616,Maruti,Ciaz,ZXI,2016,478000,Petrol,Manual,154481,1,Sedan,3686,10,Mid-Range
617,Maruti,Wagon R 1.0,VXI,2016,272000,Petrol,Manual,72025,5,Hatchback,3686,10,Budget
618,Maruti,Baleno,ZETA PETROL 1.2,2021,587000,Petrol,Manual,62348,1,Hatchback,3686,5,Mid-Range
619,Maruti,Vitara Brezza,ZDI PLUS DUAL TONE,2018,826000,Diesel,Manual,104047,1,SUV,3686,8,Premium
620,Maruti,Baleno,DELTA DIESEL 1.3,2017,508000,Diesel,Manual,74286,1,Hatchback,3686,9,Mid-Range
621,Maruti,Baleno,ALPHA DIESEL 1.3,2016,478000,Diesel,Manual,127149,2,Hatchback,3686,10,Mid-Range
622,Maruti,New Wagon-R,ZXI 1.2,2022,495000,Petrol,Manual,17466,1,Hatchback,3686,4,Mid-Range
623,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,2022,746000,Petrol,Manual,45407,1,Sedan,3686,4,Premium
624,Maruti,S PRESSO,VXI PLUS AMT,2019,360000,Petrol,Automatic,38009,1,Hatchback,3686,7,Mid-Range
625,Maruti,Swift,VXI,2021,541000,Petrol,Manual,70768,1,Hatchback,3686,5,Mid-Range
626,Maruti,XL6,ALPHA AT,2021,1000000,Petrol,Automatic,44334,1,SUV,3686,5,Premium
